Entity,Code,Year,"Gas (TWh, direct energy)","Oil (TWh, direct energy)","Coal (TWh, direct energy)"
World,OWID_WRL,1800,0,0,97
World,OWID_WRL,1810,0,0,128
World,OWID_WRL,1820,0,0,153
World,OWID_WRL,1830,0,0,264
World,OWID_WRL,1840,0,0,356
World,OWID_WRL,1850,0,0,569
World,OWID_WRL,1860,0,0,1061
World,OWID_WRL,1870,0,6,1642
World,OWID_WRL,1880,0,33,2542
World,OWID_WRL,1890,33,89,3856
World,OWID_WRL,1900,64,181,5728
World,OWID_WRL,1910,142,397,8656
World,OWID_WRL,1920,233,889,9833
World,OWID_WRL,1930,603,1756,10125
World,OWID_WRL,1940,875,2653,11586
World,OWID_WRL,1950,2092,5444,12603
World,OWID_WRL,1960,4472,11097,15442
World,OWID_WRL,1965,6303.8267,17996.53,16140.178
World,OWID_WRL,1966,6868.8228,19352.656,16324.094
World,OWID_WRL,1967,7374.067,20744.31,16060.81
World,OWID_WRL,1968,8044.3594,22499.12,16301.146
World,OWID_WRL,1969,8833.446,24363.566,16798.734
World,OWID_WRL,1970,9614.819,26520.377,17058.607
World,OWID_WRL,1971,10293.2,28021.105,16965.777
World,OWID_WRL,1972,10861.724,30139.71,17158.637
World,OWID_WRL,1973,11377.838,32560.594,17667.85
World,OWID_WRL,1974,11659.864,32120.803,17682.05
World,OWID_WRL,1975,11659.741,31746.924,18024.537
World,OWID_WRL,1976,12354.144,33782.324,18688.486
World,OWID_WRL,1977,12759.843,34960.312,19241.3
World,OWID_WRL,1978,13293.952,36550.02,19457.904
World,OWID_WRL,1979,14118.032,37114.258,20363.537
World,OWID_WRL,1980,14236.961,35525.133,20857.61
World,OWID_WRL,1981,14395.873,34268.04,21149.68
World,OWID_WRL,1982,14469.734,33208.07,21385.451
World,OWID_WRL,1983,14703.833,32956.613,22046.346
World,OWID_WRL,1984,15902.68,33680.13,23001.078
World,OWID_WRL,1985,16262.222,33667.098,23987.826
World,OWID_WRL,1986,16421.11,34712.902,24258.035
World,OWID_WRL,1987,17281.895,35404.36,25212.426
World,OWID_WRL,1988,18088.848,36551.46,25967.129
World,OWID_WRL,1989,18888.676,37164.043,26215.674
World,OWID_WRL,1990,19481.125,37676.57,25906.625
World,OWID_WRL,1991,19972.84,37663.043,25658.182
World,OWID_WRL,1992,20063.484,38147.168,25558.422
World,OWID_WRL,1993,20265.482,37961.344,25688.932
World,OWID_WRL,1994,20389.613,38782.055,25788.928
World,OWID_WRL,1995,21104.494,39460.77,25966.357
World,OWID_WRL,1996,22159.256,40334.64,26584.988
World,OWID_WRL,1997,22030.393,41453.445,26540.139
World,OWID_WRL,1998,22433.998,41670.18,26372.479
World,OWID_WRL,1999,23071.902,42383.22,26485.373
World,OWID_WRL,2000,23994.258,42978.04,27434.627
World,OWID_WRL,2001,24316.832,43377.22,27864.945
World,OWID_WRL,2002,25030.172,43676.043,28962.951
World,OWID_WRL,2003,25729.617,44652.22,31506.16
World,OWID_WRL,2004,26721.139,46387.812,33685.52
World,OWID_WRL,2005,27438.281,46887.754,36183.348
World,OWID_WRL,2006,28161.41,47388.004,38068.867
World,OWID_WRL,2007,29315.736,47942.97,40231.242
World,OWID_WRL,2008,30026.16,47537.797,40780.08
World,OWID_WRL,2009,29405.35,46489.17,40144.2
World,OWID_WRL,2010,31593.695,47971.41,41937.48
World,OWID_WRL,2011,32349.238,48312.62,43895.938
World,OWID_WRL,2012,33203.004,49113.688,44022.523
World,OWID_WRL,2013,33741.91,49590.31,44670.625
World,OWID_WRL,2014,33977.36,49934.684,44858.12
World,OWID_WRL,2015,34788.023,50964.02,43669.83
World,OWID_WRL,2016,35592.57,51992.56,42715.14
World,OWID_WRL,2017,36521.11,52866.46,43129.867
World,OWID_WRL,2018,38355.83,53405.137,43795.4
World,OWID_WRL,2019,39058.266,53512.844,43534.613
World,OWID_WRL,2020,38603.406,48609.645,42233.39
World,OWID_WRL,2021,40670.66,51349.656,44564.812
World,OWID_WRL,2022,39413.043,52969.59,44854.035
